TERM,HS_GPA,ACT_ENGL,ACT_MATH,ACT_READING,ACT_SCIENCE,ACT_COMP,COUNTY_CODE_ORIG,COUNTY_ORIG,STAT_ORIG,COLLEGE,DEGREE,MAJOR,FERRIS_GPA,RETAINED
2010,3.57,23,27,30,31,28,MI081,Kent,MI,AS,AS,PPHR,4,1
2010,2.17,17,20,19,21,19,MI107,Mecosta,MI,TE,AAS,MECH,0,0
2010,2.084,14,16,17,21,17,MI107,Mecosta,MI,UN,AA,UNCP,4,1
2010,2.79,19,27,20,24,23,MI165,Wexford,MI,TE,AAS,EEIT,3.92,1
2010,0,25,19,23,22,22,MI107,Mecosta,MI,AS,BS,PSYC,2.08,0
2010,3.562,25,24,22,22,23,MI081,Kent,MI,ED,AA,PCRJ,3.7,1
2010,2.91,19,17,22,13,18,MI107,Mecosta,MI,AS,AS,PSCI,3.4,1
2010,3.69,NA,NA,NA,NA,NA,MI107,Mecosta,MI,AS,AS,PSCI,4,1
2010,2.917,20,20,16,19,19,MI081,Kent,MI,TE,AAS,PLTT,2.7,1
2010,2.93,15,17,20,18,18,MI031,Cheboygan,MI,ED,BS,RLMG,2.36,1
2010,1.49,23,16,29,25,23,MI107,Mecosta,MI,UN,AA,DIST,0,0
2010,2.364,19,29,19,23,23,MI107,Mecosta,MI,UN,AA,GNST,3.77,1
2010,2.716,25,17,23,22,22,MI081,Kent,MI,HP,BS,PNUR,0.9,0
2010,3.044,14,18,20,19,18,MI107,Mecosta,MI,TE,AAS,HVAR,3.6,1
2010,3.591,17,17,17,19,18,MI133,Osceola,MI,AS,AS,PPHR,1.51,0
2010,3.156,23,21,15,23,21,MI107,Mecosta,MI,ED,AA,PCRJ,3.84,0
2010,3.4,15,16,23,14,17,MI133,Osceola,MI,BU,BS,MIM,3.33,0
2010,3.531,12,15,14,19,14,MI077,Kalamazoo,MI,KE,BFA,IL,1.35,0
2010,3.826,26,30,24,28,27,MI107,Mecosta,MI,TE,AAS,PLTT,2.82,1
2010,3.42,28,26,31,28,27,MI107,Mecosta,MI,BU,BS,CIT,3.06,1
2010,3.493,20,25,20,24,20,MI107,Mecosta,MI,TE,BS,ESEN,3.09,1
2010,3.783,17,20,21,21,20,MI123,Newaygo,MI,HP,AAS,PDMS,2.63,1
2010,3.21,21,23,26,26,24,MI107,Mecosta,MI,BU,BS,BUAD,2.27,0
2010,3.399,27,21,24,17,21,MI139,Ottawa,MI,KE,BFA,GD,2.47,1
2010,3.762,18,20,17,19,17,MI107,Mecosta,MI,AS,AS,PSCI,3.21,1
2010,3.149,16,15,14,20,16,MI107,Mecosta,MI,UN,AA,GNST,2.1,1
2010,NA,NA,NA,NA,NA,NA,MI107,Mecosta,MI,UN,AA,GNST,3.72,0
2010,3.89,24,22,25,24,24,MI107,Mecosta,MI,AS,BS,BIPT,1.98,1
2010,3.304,19,21,21,20,20,MI107,Mecosta,MI,TE,BS,AET,2.54,1
2010,4,35,29,34,29,30,MI107,Mecosta,MI,AS,AS,PPHR,4,1
2010,3.809,27,29,29,30,29,MI107,Mecosta,MI,AS,BS,AMAS,3.32,1
2010,3.543,20,22,17,20,19,MI107,Mecosta,MI,TE,AAS,PDGI,3.76,1
2010,3.46,19,17,23,21,20,MI117,Montcalm,MI,KE,BFA,IL,3.58,1
2010,2.398,19,21,17,22,19,MI125,Oakland,MI,KE,BFA,GD,2.85,1
2010,2.943,20,18,22,18,20,MI081,Kent,MI,KE,BFA,IL,3.25,1
2010,3.211,34,25,32,27,30,MI063,Huron,MI,HP,BS,PNUR,1.74,1
2010,3.273,16,18,19,22,18,MI139,Ottawa,MI,HP,AAS,PDH,3.11,1
2010,3.65,26,25,23,25,24,MI107,Mecosta,MI,BU,BS,BUAD,3.7,1
2010,NA,NA,NA,NA,NA,NA,MI081,Kent,MI,KE,BFA,DM,0,0
2010,1.964,19,18,17,16,18,MI081,Kent,MI,KE,BFA,DM,1.18,0
2010,3.931,35,26,30,27,28,MI133,Osceola,MI,AS,AS,PPHR,3.53,1
2010,3.847,33,30,31,31,31,MI107,Mecosta,MI,AS,BA,CHEM,3.91,1
2010,3.895,27,28,28,32,29,MI133,Osceola,MI,BU,BS,MIM,3.8,1
2010,3.966,28,25,28,30,27,MI107,Mecosta,MI,AS,BS,BIPO,4,1
2010,3.286,22,28,27,25,26,MI107,Mecosta,MI,AS,BS,BIPT,3.03,1
2010,3.961,34,29,32,27,30,MI107,Mecosta,MI,AS,BA,ENGB,3.94,1
2010,3.476,23,24,20,22,22,MI107,Mecosta,MI,AS,BS,BIPM,2.19,1
2010,3.902,27,30,26,30,28,MI107,Mecosta,MI,AS,BS,BIPO,3.27,1
2010,3.841,28,28,30,35,30,MI139,Ottawa,MI,AS,AS,PPHR,3.49,1
2010,3.274,22,19,16,19,19,MI133,Osceola,MI,BU,AAS,GRDE,3.28,1
2010,0,22,18,26,21,22,MI125,Oakland,MI,BU,AAS,PMIM,1.85,0
2010,3.29,26,28,26,29,27,MI081,Kent,MI,BU,AAS,GRDE,1.77,0
2010,2.877,20,19,18,20,19,MI099,Macomb,MI,TE,AAS,HVAR,2.87,1
2010,3.281,19,19,17,23,20,MI081,Kent,MI,KE,BFA,GD,3.25,1
2010,2.579,21,24,21,22,22,MI147,St. Clair,MI,UN,AA,CARE,2.17,1
2010,2.718,12,11,12,8,11,MI139,Ottawa,MI,KE,BFA,GD,2.67,1
2010,3.076,22,24,18,14,20,MI139,Ottawa,MI,BU,AAS,GRDE,3,0
2010,3.803,33,28,36,32,32,MI139,Ottawa,MI,KE,BFA,GD,3.35,1
2010,3.202,25,24,27,24,25,MI139,Ottawa,MI,KE,BFA,ID,3,0
2010,3.317,21,17,24,23,21,MI139,Ottawa,MI,HP,AAS,PDH,2.2,1
2010,2.167,15,14,21,17,17,MI093,Livingston,MI,UN,AA,UNCP,0.16,0
2010,2.631,15,16,16,19,17,MI151,Sanilac,MI,ED,AA,PTSC,2.21,1
2010,2.963,15,17,20,19,17,MI107,Mecosta,MI,ED,BS,BIED,0,0
2010,2.52,15,16,20,19,18,MI165,Wexford,MI,ED,AA,PCRJ,0.14,0
2010,2.401,16,20,18,20,18,MI139,Ottawa,MI,TE,AAS,HEQT,1.43,1
2010,3.859,19,25,22,25,22,MI069,Iosco,MI,AS,AS,PPHR,3.84,0
2010,2.64,15,21,15,16,17,MI081,Kent,MI,TE,AAS,HVAR,1.43,0
2010,3.499,21,20,22,19,21,MI121,Muskegon,MI,HP,AAS,PDH,2.81,1
2010,2.43,16,20,16,16,17,MI123,Newaygo,MI,UN,AA,GNST,1.27,0
2010,2.969,19,18,16,21,19,MI081,Kent,MI,ED,AA,PCRJ,3.39,0
2010,3.143,27,23,25,24,24,MI033,Chippewa,MI,TE,AAS,WELT,2,1
2010,2.926,11,18,14,16,15,MI073,Isabella,MI,UN,AA,GNST,2.1,1
2010,3.571,16,23,16,21,19,MI133,Osceola,MI,AS,BS,BIFB,1.75,1
2010,2.619,20,16,19,22,19,MI047,Emmet,MI,AS,AS,PSCI,3.01,1
2010,3.853,26,30,25,31,28,MI107,Mecosta,MI,AS,AS,PENG,3.39,1
2010,3.633,20,27,25,22,23,MI107,Mecosta,MI,AS,AAS,OHT,3.47,1
2010,2.579,23,26,31,32,27,MI125,Oakland,MI,AS,AS,PPHR,3.02,1
2010,3.675,21,20,20,20,20,MI139,Ottawa,MI,KE,BFA,PA,3.68,1
2010,3.284,21,17,18,19,19,MI081,Kent,MI,TE,BS,PCNM,2.66,1
2010,3.85,17,16,20,20,18,MI107,Mecosta,MI,AS,BSW,SOWK,3.88,1
2010,3.994,24,28,27,28,27,MI123,Newaygo,MI,AS,BA,MATH,0,0
2010,3.306,17,27,15,21,20,MI123,Newaygo,MI,AS,BS,BIPV,2.24,0
2010,2.882,14,15,17,12,15,MI037,Clinton,MI,UN,AA,GNST,0,0
2010,3.92,24,29,23,25,25,MI133,Osceola,MI,UN,AA,CARE,3.77,1
2010,3.391,15,18,18,18,17,MI081,Kent,MI,HP,AAS,PDH,3.01,1
2010,2.333,27,22,27,22,25,MI085,Lake,MI,TE,BS,CNS,2.04,1
2010,3.562,20,22,16,19,19,MI117,Montcalm,MI,BU,BS,CIS,3.77,1
2010,3.516,21,24,17,21,21,MI107,Mecosta,MI,AS,BA,MATH,2.59,1
2010,3.989,21,26,21,23,22,MI133,Osceola,MI,AS,AS,PPHR,3.51,1
2010,3.954,27,27,25,25,26,MI139,Ottawa,MI,KE,BFA,IL,3.58,1
2010,2.366,26,21,22,19,22,MI139,Ottawa,MI,KE,BFA,IL,3.43,0
2010,2.889,18,19,23,20,19,MI139,Ottawa,MI,KE,BFA,AE,2.6,1
2010,2.876,15,15,16,16,15,MI155,Shiawassee,MI,KE,BFA,PA,2.87,1
2010,2.876,22,23,31,33,27,MI155,Shiawassee,MI,KE,BFA,PH,2.25,1
2010,2.787,18,19,20,18,18,MI081,Kent,MI,HP,AAS,PDMS,2.17,0
2010,3.649,16,19,21,23,20,MI081,Kent,MI,ED,AA,PCRJ,3.76,1
2010,3.938,23,29,26,27,26,MI065,Ingham,MI,AS,AS,PPHR,3.42,1
2010,3.876,25,22,28,25,25,MI081,Kent,MI,KE,BFA,UN,4,1
2010,3.963,24,25,23,20,23,MI145,Saginaw,MI,HP,AAS,AHS,3.86,1
2010,3.151,22,20,26,19,22,MI125,Oakland,MI,KE,BFA,GD,3.58,1
2010,2.665,30,15,26,21,23,MI081,Kent,MI,KE,BFA,UN,NA,0
2010,3.1,21,17,30,24,23,MI165,Wexford,MI,UN,AA,UNCP,NA,0
2010,2.988,15,19,23,19,19,MI107,Mecosta,MI,BU,AAS,GRDE,2.75,1
2010,3.489,15,17,15,15,16,MI107,Mecosta,MI,ED,BS,ELED,3.41,1
2010,3.029,21,25,18,20,20,MI099,Macomb,MI,HP,AAS,PRAD,3.59,1
2010,3.772,16,18,22,20,19,MI099,Macomb,MI,BU,BS,MIM,3.71,1
2010,3.191,17,25,18,21,20,MI099,Macomb,MI,ED,AA,PCRJ,3.07,0
2010,2.877,14,19,12,17,16,MI107,Mecosta,MI,UN,AA,GNST,3.36,1
2010,3.345,22,21,24,20,22,MI067,Ionia,MI,AS,AS,PSCI,2.85,1
2010,3.64,19,26,24,23,23,MI037,Clinton,MI,TE,AAS,WELT,3.36,1
2010,3.232,18,29,18,27,22,MI111,Midland,MI,TE,AAS,CDTD,2.84,1
2010,2.654,18,21,26,19,21,MI133,Osceola,MI,AS,AA,PSWK,1.25,0
2010,3.188,21,24,23,22,22,MI125,Oakland,MI,BU,BS,REMG,3.4,1
2010,2.256,16,16,16,18,16,MI077,Kalamazoo,MI,UN,AA,UNCP,2.43,0
2010,2.954,16,22,17,20,18,MI049,Genesee,MI,AS,AS,PPHR,1.39,1
2010,3.576,21,23,24,21,22,MI081,Kent,MI,TE,AAS,HEQT,3.54,1
2010,3.984,23,26,33,25,27,MI021,Berrien,MI,KE,BFA,SF,3.74,1
2010,2.423,13,16,17,19,16,MI125,Oakland,MI,UN,AA,GNST,2.83,1
2010,3.511,16,20,21,22,19,MI005,Allegan,MI,HP,BS,PNUR,2.67,1
2010,2.879,18,16,17,16,17,MI077,Kalamazoo,MI,HP,AAS,PRAD,3,1
2010,3.228,26,18,21,21,21,MI139,Ottawa,MI,HP,BS,PNUR,3.03,0
2010,3.086,21,18,25,19,21,MI081,Kent,MI,KE,BFA,IL,3.26,1
2010,4.075,28,33,30,32,29,MI033,Chippewa,MI,AS,BS,AMAS,4,1
2010,3.896,20,25,24,22,21,MI107,Mecosta,MI,BU,BS,BUAD,3.94,1
2010,3.807,21,29,24,21,23,MI107,Mecosta,MI,BU,BS,BUAD,3.76,1
2010,3.467,19,21,20,21,20,MI081,Kent,MI,HP,BS,PNUR,3.7,1
2010,3.994,27,33,31,31,31,MI057,Gratiot,MI,HP,AAS,PRAD,4,1
2010,3.457,21,19,18,24,21,MI005,Allegan,MI,HP,AAS,PRAD,3.16,0
2010,3.852,26,30,34,31,30,MI067,Ionia,MI,AS,AS,PPHR,3.73,1
2010,3.529,25,23,31,22,25,MI081,Kent,MI,AS,BS,BIFB,2.46,1
2010,3.683,24,24,31,25,26,MI081,Kent,MI,ED,AA,PCRJ,4,1
2010,3.58,26,26,26,22,25,MI121,Muskegon,MI,HP,AAS,PDH,3.61,1
2010,3.319,21,21,29,21,23,MI005,Allegan,MI,BU,AAS,GRDE,3.18,1
2010,3.663,21,21,23,21,22,MI123,Newaygo,MI,AS,AS,POPT,2.86,1
2010,3.61,23,28,17,25,23,MI025,Calhoun,MI,AS,AS,PPHR,3.38,0
2010,3.935,20,26,19,25,21,MI031,Cheboygan,MI,AS,AS,PSCI,3.11,1
2010,3.545,25,27,32,22,27,MI107,Mecosta,MI,AS,AA,LIAR,3.87,1
2010,3.716,18,22,25,23,23,MI103,Marquette,MI,AS,AS,PPHR,2.21,1
2010,3.994,31,32,31,35,32,MI145,Saginaw,MI,AS,AS,PPHR,4,1
2010,3.738,25,25,25,23,24,MI103,Marquette,MI,AS,AS,PPHR,2.2,1
2010,3.59,19,24,19,25,22,MI161,Washtenaw,MI,TE,AAS,WELT,3.53,1
2010,4.27,30,29,35,25,30,MI145,Saginaw,MI,AS,AS,PPHR,3.94,1
2010,3.368,18,22,28,27,24,MI139,Ottawa,MI,AS,AS,PPHR,2.93,0
2010,3.322,21,24,20,21,22,MI139,Ottawa,MI,AS,AS,PPHR,2.95,0
2010,4.202,33,31,33,32,32,MI081,Kent,MI,AS,AS,PPHR,4,1
2010,3.094,17,19,21,21,19,MI165,Wexford,MI,AS,AA,PPSY,3.07,1
2010,3.259,26,18,20,20,21,MI133,Osceola,MI,AS,AS,PSCI,0,0
2010,2.98,18,19,20,19,19,MI037,Clinton,MI,HP,AAS,PRAD,3.05,0
2010,3.843,24,29,27,25,26,MI055,Grand Traverse,MI,AS,BS,BIPO,3.31,1
2010,3.753,22,21,20,24,22,MI133,Osceola,MI,KE,BFA,IL,2.46,0
2010,3.16,25,18,26,25,24,MI117,Montcalm,MI,BU,BS,PGM,2.83,1
2010,3.936,33,30,35,28,31,MI007,Alpena,MI,AS,AS,PPHR,3.19,1
2010,3.47,25,26,28,21,25,MI041,Delta,MI,HP,AAS,PDH,2.71,0
2010,2.875,23,19,27,25,24,MI125,Oakland,MI,AS,BA,CHEM,2.47,0
2010,3.971,31,30,30,27,29,MI081,Kent,MI,HP,BS,PNUR,3.67,1
2010,3.6,30,21,23,21,24,MI163,Wayne,MI,HP,BS,PNUR,3.12,1
2010,3.882,23,23,28,25,25,MI155,Shiawassee,MI,AS,BS,BIPT,3.75,1
2010,2.967,20,16,24,18,20,MI095,Luce,MI,HP,AAS,PDH,0.58,0
2010,3.798,25,22,29,26,26,MI117,Montcalm,MI,HP,AAS,PDH,3.06,1
2010,2.917,20,15,21,20,19,MI155,Shiawassee,MI,HP,AAS,PDH,2.5,1
2010,2.812,16,16,15,19,17,MI161,Washtenaw,MI,HP,AAS,PDH,3.48,1
2010,2.661,17,15,18,19,17,MI125,Oakland,MI,ED,BS,ELED,3.49,1
2010,3.236,23,18,22,20,20,MI161,Washtenaw,MI,TE,AAS,PDGI,3.78,1
2010,4.114,35,30,30,28,31,MI139,Ottawa,MI,HP,BS,PNUR,4,1
2010,2.738,23,25,24,24,23,MI099,Macomb,MI,AS,AS,PPHR,1.65,0
2010,2.54,13,18,12,18,15,MI081,Kent,MI,UN,AA,UNCP,0,0
2010,3.021,15,15,24,18,18,MI125,Oakland,MI,ED,AA,PCRJ,2.5,1
2010,3.549,26,18,26,19,22,MI067,Ionia,MI,HP,BS,PNUR,2.79,1
2010,3.906,21,29,21,26,24,MI125,Oakland,MI,AS,AS,PPHR,3.77,1
2010,3.735,22,20,24,23,22,MI031,Cheboygan,MI,HP,AAS,PDH,3.56,1
2010,3.351,23,21,28,22,24,MI115,Monroe,MI,BU,BS,HOTM,3.54,1
2010,3.933,28,25,24,22,24,MI125,Oakland,MI,BU,AAS,GRDE,3.93,1
2010,3.65,22,28,23,22,24,MI037,Clinton,MI,AS,AS,PPHR,2.9,1
2010,0,20,17,24,23,21,MI101,Manistee,MI,ED,AAS,ECED,3.67,1
2010,3.276,19,19,15,21,19,MI163,Wayne,MI,BU,BS,PGM,2.74,1
2010,3.654,21,28,20,23,22,MI133,Osceola,MI,AS,AA,PART,1.33,0
2010,3.257,19,18,25,27,22,MI097,Mackinac,MI,UN,AA,GNST,3.01,0
2010,4.052,35,32,31,34,32,MI099,Macomb,MI,AS,AS,PPHR,4,1
2010,2.9,19,18,24,19,20,MI081,Kent,MI,ED,BS,SSED,3.13,1
2010,3.8,27,24,30,20,25,MI081,Kent,MI,BU,BS,MIM,3.72,1
2010,2.757,14,16,16,19,16,MI163,Wayne,MI,BU,AAS,PMIM,1.47,0
2010,3.515,20,20,29,22,23,MI021,Berrien,MI,HP,AAS,PDH,1.63,0
2010,3.501,17,25,23,24,22,MI131,Ontonagon,MI,HP,AAS,PDH,3.45,1
2010,3.589,24,24,30,27,26,MI067,Ionia,MI,BU,BS,ISIN,2.51,1
2010,3.94,21,29,20,24,24,MI081,Kent,MI,TE,AAS,MECH,3.81,1
2010,3.399,24,28,23,24,25,MI099,Macomb,MI,AS,BS,BIPO,3.19,1
2010,2.767,21,22,27,22,23,MI015,Barry,MI,ED,AA,PCRJ,2.44,1
2010,3.435,21,21,14,22,20,MI027,Cass,MI,KE,BFA,DR,3.1,1
2010,2.152,19,16,18,17,18,MI163,Wayne,MI,UN,AA,GNST,2.02,0
2010,3.253,27,25,24,28,25,MI081,Kent,MI,AS,AS,PPHR,3.12,1
2010,3.55,25,26,28,24,26,MI081,Kent,MI,AS,BS,BIPO,2.91,1
2010,2.305,14,15,19,18,17,MI163,Wayne,MI,UN,AA,UNCP,3.53,1
2010,2.46,19,17,15,20,18,MI163,Wayne,MI,TE,AAS,PEIT,1.14,0
2010,3.82,26,23,21,24,24,MI057,Gratiot,MI,AS,AS,PPHR,3.02,1
2010,3.77,25,29,28,23,26,MI125,Oakland,MI,ED,BS,TDMP,3.85,1
2010,3.484,24,25,28,27,26,MI021,Berrien,MI,ED,BS,ELED,3.39,1
2010,3.172,19,25,20,27,23,MI111,Midland,MI,TE,BS,CNS,1.54,1
2010,3.12,16,25,13,21,19,MI107,Mecosta,MI,TE,BS,SURE,1.86,1
2010,3.404,21,20,20,19,20,MI063,Huron,MI,HP,AAS,AHS,3.38,1
2010,3.294,17,16,14,21,17,MI155,Shiawassee,MI,UN,AA,GNST,3.13,0
2010,3.98,26,26,29,28,27,MI151,Sanilac,MI,AS,AS,PPHR,4,1
2010,3.57,21,25,17,25,21,MI151,Sanilac,MI,AS,AS,PPHR,3.16,1
2010,2.735,22,22,23,24,23,MI113,Missaukee,MI,ED,AA,PCRJ,2.67,1
2010,3.919,34,31,34,31,32,MI127,Oceana,MI,AS,AS,PPHR,3.69,1
2010,3.076,21,23,20,22,22,MI155,Shiawassee,MI,KE,BFA,PH,2.83,1
2010,3.43,18,22,13,15,19,MI107,Mecosta,MI,HP,AAS,HIT,3.72,1
2010,2.978,14,14,17,19,16,MI163,Wayne,MI,UN,AA,GNST,2.57,0
2010,3.57,25,23,32,22,26,MI125,Oakland,MI,BU,BS,BALS,3.95,1
2010,2.85,16,16,16,18,17,MI017,Bay,MI,HP,BS,PNUR,0.64,0
2010,4.078,28,31,31,31,29,MI147,St. Clair,MI,AS,AS,PPHR,3.83,1
2010,4.026,25,29,30,31,29,MI081,Kent,MI,AS,AS,PPHR,4,1
2010,3.29,22,22,24,25,23,MI017,Bay,MI,BU,BS,MIM,3.46,1
2010,3.9,24,27,21,24,23,MI107,Mecosta,MI,AS,AS,PPHR,3.92,1
2010,3.75,30,30,26,31,29,MI125,Oakland,MI,AS,AS,PPHR,3.94,1
2010,4.2,34,34,33,31,33,MI081,Kent,MI,AS,AS,PPHR,4,1
2010,2.738,16,16,20,21,18,MI081,Kent,MI,ED,AA,PCRJ,0.7,1
2010,3.541,25,23,23,23,23,MI161,Washtenaw,MI,TE,AAS,WELT,3.72,1
2010,2.511,17,17,13,17,16,MI099,Macomb,MI,UN,AA,GNST,2.88,0
2010,3.58,23,22,23,24,22,MI163,Wayne,MI,AS,BS,BIFB,2.71,0
2010,2.675,15,19,15,16,16,MI093,Livingston,MI,UN,AA,GNST,2.88,1
2010,3.873,20,25,18,22,21,MI029,Charlevoix,MI,AS,BS,BIBS,2.96,0
2010,3.603,23,23,30,22,25,MI067,Ionia,MI,HP,AAS,PDMS,2.74,1
2010,4.181,29,30,36,34,32,MI081,Kent,MI,AS,AS,PPHR,3.91,1
2010,2.404,18,15,14,19,17,MI093,Livingston,MI,UN,AA,GNST,2.76,0
2010,3.281,14,16,15,17,16,MI003,Alger,MI,UN,AA,GNST,3,1
2010,3.82,23,28,27,27,26,MI117,Montcalm,MI,AS,AS,PPHR,3.21,1
2010,3.249,20,24,19,21,21,MI121,Muskegon,MI,AS,BS,BIOT,2.54,1
2010,3.3,20,22,22,26,23,MI081,Kent,MI,ED,AA,PCRJ,3.52,1
2010,3.384,21,23,24,27,24,MI165,Wexford,MI,ED,AA,PCRJ,3.54,1
2010,3.218,21,28,15,17,20,MI121,Muskegon,MI,BU,AAS,PPTM,3.22,1
2010,4.202,34,33,34,29,32,MI147,St. Clair,MI,AS,BS,BIPO,3.53,1
2010,4.09,25,29,21,26,25,MI163,Wayne,MI,AS,BS,BIPO,4,1
2010,3.469,24,32,26,26,26,MI161,Washtenaw,MI,AS,AS,PPHR,3.38,1
2010,3.3,21,24,20,22,21,MI139,Ottawa,MI,HP,BS,PNUR,3.03,1
2010,3.246,20,17,26,22,21,MI017,Bay,MI,HP,AAS,PRAD,2.4,1
2010,4,34,27,34,31,32,MI017,Bay,MI,AS,AS,PPHR,4,1
2010,4,31,34,30,30,31,MI121,Muskegon,MI,AS,AS,PPHR,4,1
2010,3.585,25,30,21,25,24,MI143,Roscommon,MI,TE,BS,AET,2.17,0
2010,3.724,26,25,23,25,24,MI035,Clare,MI,BU,BS,AIMC,3.94,1
2010,2.75,18,16,18,18,17,MI149,St. Joseph,MI,UN,AA,GNST,3.29,1
2010,4.104,32,28,31,28,30,MI077,Kalamazoo,MI,AS,BS,PSYC,3.98,1
2010,3.69,25,28,27,28,27,MI025,Calhoun,MI,AS,AS,PPHR,2.85,1
2010,3.284,21,23,20,27,23,MI081,Kent,MI,KE,BFA,GD,3.34,1
2010,3.133,16,24,19,23,21,MI003,Alger,MI,BU,AAS,PBUS,3.61,0
2010,3.5,15,19,15,24,18,MI067,Ionia,MI,AS,BS,BIPD,2.08,1
2010,3.654,26,31,28,26,27,MI125,Oakland,MI,AS,AS,PPHR,3.72,1
2010,3.73,15,26,14,20,19,MI037,Clinton,MI,TE,AAS,PARC,3.48,1
2010,2.654,16,15,15,20,16,MI125,Oakland,MI,BU,AAS,PBUS,2.15,1
2010,4.171,32,30,31,30,30,MI081,Kent,MI,AS,AS,PPHR,4,1
2010,4.031,29,33,31,32,31,MI049,Genesee,MI,AS,AS,PPHR,3.93,1
2010,2.61,15,20,15,20,18,MI125,Oakland,MI,BU,AAS,PBUS,2.03,0
2010,3.452,16,18,18,18,18,MI163,Wayne,MI,HP,BS,PNUR,3.28,1
2010,4.16,27,24,30,24,26,MI017,Bay,MI,HP,BS,PNM,4,1
2010,3.715,19,26,15,24,21,MI049,Genesee,MI,BU,BS,FIN,3,1
2010,2.95,17,21,17,19,19,MI099,Macomb,MI,AS,BS,BIPD,3.09,1
2010,3.851,24,26,29,26,26,MI163,Wayne,MI,AS,AS,PPHR,3.93,1
2010,2.706,20,24,22,22,21,MI139,Ottawa,MI,TE,AAS,PEIT,2.49,1
2010,2.699,23,20,20,23,21,MI163,Wayne,MI,BU,BS,MIM,3,1
2010,4.182,26,26,23,24,24,MI049,Genesee,MI,AS,BS,BIPO,3.78,1
2010,3.502,25,24,32,27,27,MI155,Shiawassee,MI,TE,AAS,PLTT,3.76,1
2010,3.433,21,21,22,20,21,MI125,Oakland,MI,BU,BS,ACPA,3.42,1
2010,2.963,17,24,30,24,24,MI161,Washtenaw,MI,AS,AS,PPHR,2.92,1
2010,3.894,29,27,25,27,27,MI109,Menominee,MI,AS,AA,PPSY,3.93,1
2010,3.41,23,21,20,23,22,MI117,Montcalm,MI,HP,AAS,PRAD,3.18,1
2010,3.287,16,16,18,19,17,MI055,Grand Traverse,MI,KE,BFA,IL,2.5,1
2010,3.87,27,25,27,30,27,MI027,Cass,MI,AS,BS,BIPO,3.07,1
2010,3.29,15,25,20,20,20,MI081,Kent,MI,HP,AAS,PRAD,3.49,1
2010,2.48,21,21,22,24,22,MI163,Wayne,MI,BU,BS,PGM,2.18,1
2010,3.999,30,29,29,27,28,MI161,Washtenaw,MI,AS,AS,PPHR,3.91,1
2010,3.645,22,24,26,24,24,MI093,Livingston,MI,AS,AS,PPHR,3.46,1
2010,3.304,15,23,18,20,19,MI137,Otsego,MI,HP,AAS,PNM,2.85,0
2010,2.479,21,18,21,22,21,MI163,Wayne,MI,AS,AAS,OHT,2.75,1
2010,3.195,19,18,18,19,18,MI165,Wexford,MI,HP,AAS,PDMS,3.54,1
2010,3.956,34,30,34,31,33,MI139,Ottawa,MI,BU,AAS,GRDE,3.93,1
2010,2.64,20,19,25,19,21,MI081,Kent,MI,TE,AAS,BCTM,3.84,1
2010,2.939,21,27,31,26,26,MI065,Ingham,MI,ED,AA,PCRJ,2.5,0
2010,3.59,23,18,27,25,23,MI161,Washtenaw,MI,TE,AAS,ARCH,2.65,1
2010,3.583,22,26,23,25,24,MI139,Ottawa,MI,AS,AS,PPHR,2.68,1
2010,2.764,20,16,25,17,20,MI089,Leelanau,MI,AS,BS,BIPD,2.65,1
2010,3.892,26,34,30,30,29,MI031,Cheboygan,MI,TE,AAS,WELT,3.57,1
2010,3.387,15,16,17,18,16,MI165,Wexford,MI,HP,BS,PNUR,2.32,1
2010,3.741,18,20,16,19,18,MI139,Ottawa,MI,TE,AAS,BCTM,3.6,0
2010,3.854,25,25,31,25,27,MI067,Ionia,MI,AS,AS,PPHR,3.28,1
2010,3.895,17,15,16,18,17,MI123,Newaygo,MI,UN,AA,GNST,3.78,0
2010,3.102,19,16,17,18,18,MI077,Kalamazoo,MI,HP,BS,PNUR,3.53,0
2010,3.355,24,18,20,24,21,MI017,Bay,MI,ED,BS,RLMG,3.3,1
2010,3.3,20,21,21,21,20,MI049,Genesee,MI,TE,BS,CMBT,3.42,1
2010,2.481,19,16,20,20,19,MI163,Wayne,MI,UN,AA,GNST,2.99,0
2010,2.99,15,21,19,21,19,MI081,Kent,MI,TE,AAS,MFGT,3.4,1
2010,2.298,23,17,16,21,19,MI125,Oakland,MI,UN,AA,CARE,2.77,1
2010,3.398,17,18,20,21,18,MI081,Kent,MI,TE,AAS,PHVA,3.17,1
2010,4,34,29,34,31,32,MI029,Charlevoix,MI,AS,BS,BIPM,4,1
2010,3.433,18,18,20,19,19,MI077,Kalamazoo,MI,BU,BS,PGM,2.39,1
2010,3.33,23,25,21,23,23,MI005,Allegan,MI,TE,BS,AET,3.06,1
2010,3.419,24,22,22,23,23,MI081,Kent,MI,AS,BSW,SOWK,3.19,1
2010,3.038,12,17,16,18,15,MI113,Missaukee,MI,UN,AA,GNST,3.14,1
2010,3.155,20,20,25,27,22,MI031,Cheboygan,MI,ED,AA,PCRJ,2.96,1
2010,3.46,19,21,21,22,21,MI123,Newaygo,MI,ED,AA,PCRJ,3.48,1
2010,3.698,29,29,30,33,30,MI099,Macomb,MI,ED,BS,BIED,3.45,1
2010,4.135,27,28,30,30,29,MI081,Kent,MI,AS,BS,BIPO,3.62,1
2010,3.853,20,26,24,22,22,MI065,Ingham,MI,AS,AS,PPHR,3.3,1
